  0.82     5.73
  8.56     3.86
  8.64     4.08
  8.72     4.55
 11.87     5.75
 11.88     7.94
 11.91     2.75
 17.56     5.33
 23.57     9.41
 24.39     4.66
 26.50     9.79
 28.96     9.34
 32.97     3.07
 36.83     2.12
 37.35     9.58
 37.52     5.46
 39.28     9.53
 40.10     5.01
 43.30     6.99
 44.02     5.28
 48.78     7.53
 52.55     2.60
 53.04     3.69
 54.46     8.67
 58.42     3.23
 62.00     5.89
 66.12     5.67
 67.93     4.10
 68.98     6.40
 71.54     4.90
 72.94     3.59
 73.39     9.29
 77.32     5.68
 79.81     4.74
 84.76     9.87
 85.33     3.41
 86.11     9.24
 88.87     5.68
 93.18     7.94
 95.63     4.03
 95.85     5.68
 96.45     2.19
 96.62     3.16
 99.12     6.09
 99.85     6.51
100.12     3.54
100.66     7.35
105.20     9.22
109.29     5.13
112.10     3.71
114.06     9.98
115.94     2.40
116.15     7.14
117.49     2.15
119.40     8.43
122.00     4.24
124.67     2.11
127.05     3.46
130.73     6.72
131.46     8.83
135.20     6.55
141.36     9.33
144.24     3.19
144.64     4.94
145.87     2.52
146.95     9.33
152.50     9.77
152.57     9.72
153.55     5.81
153.58     9.98
156.13     4.05
158.69     6.34
161.31     6.66
161.95     5.42
165.46     5.36
168.00     4.62
168.02     4.62
170.84     3.81
172.32     2.51
173.37     2.14
177.48     3.39
177.62     3.52
181.48     9.20
185.21     8.07
187.17     3.11
187.73     7.24
189.59     2.28
192.83     7.30
193.79     9.39
198.59     8.33
200.73     4.98
204.99     4.66
205.71     4.90
206.88     3.40
208.58     3.20
211.87     6.43
214.13     3.01
214.72     5.75
222.04     9.19
225.00     5.21
231.56     9.87
237.32     5.45
245.21     4.03
249.92     7.10
253.38     3.48
255.07     6.17
256.24     6.37
256.56     4.05
256.75     5.29
258.43     4.68
259.58     7.00
259.81     9.09
260.39     7.07
262.46     8.22
263.72     6.66
267.17     6.56
268.30     3.87
281.31     6.69
282.75     2.77
285.74     7.33
288.28     7.21
291.62     8.71
294.86     2.33
299.56     2.86
301.15     6.22
302.77     2.12
306.54     4.66
306.75     9.22
306.82     4.05
307.59     5.98
307.94     8.87
313.33     5.24
318.08     2.55
318.10     6.65
321.70     3.72
324.49     5.58
324.78     5.48
327.29     2.52
328.77     5.05
332.28     9.44
332.48     6.93
332.59     2.48
332.69     8.77
332.77     9.31
337.32     7.14
339.10     9.53
340.48     5.84
342.60     6.75
343.80     4.70
347.29     7.72
348.48     5.38
352.13     5.34
352.44     5.58
